name	version	authors	repository	license	license_file	description
ahash	0.8.12	Tom Kaitchuck <Tom.Kaitchuck@gmail.com>	https://github.com/tkaitchuck/ahash	Apache-2.0 OR MIT		A non-cryptographic hash function using AES-NI for high performance
aho-corasick	1.1.4	Andrew Gallant <jamslam@gmail.com>	https://github.com/BurntSushi/aho-corasick	MIT OR Unlicense		Fast multiple substring searching.
allocator-api2	0.2.21	Zakarum <zaq.dev@icloud.com>	https://github.com/zakarumych/allocator-api2	Apache-2.0 OR MIT		Mirror of Rust's allocator API
alsa	0.7.1	David Henningsson <coding@diwic.se>	https://github.com/diwic/alsa-rs	Apache-2.0 OR MIT		Thin but safe wrappers for ALSA (Linux sound API)
alsa-sys	0.3.1	Pierre Krieger <pierre.krieger1708@gmail.com>|David Henningsson <coding@diwic.se>	https://github.com/diwic/alsa-sys	MIT		FFI bindings for the ALSA project (Advanced Linux Sound Architecture)
annotate-snippets	0.12.16		https://github.com/rust-lang/annotate-snippets-rs	Apache-2.0 OR MIT		Format diagnostic reports, including highlighting snippets of text
anstyle	1.0.14		https://github.com/rust-cli/anstyle.git	Apache-2.0 OR MIT		ANSI text styling
anyhow	1.0.102	David Tolnay <dtolnay@gmail.com>	https://github.com/dtolnay/anyhow	Apache-2.0 OR MIT		Flexible concrete Error type built on std::error::Error
approx	0.5.1	Brendan Zabarauskas <bjzaba@yahoo.com.au>	https://github.com/brendanzab/approx	Apache-2.0		Approximate floating point equality comparisons and assertions.
arraydeque	0.5.1	andylokandy	https://github.com/andylokandy/arraydeque	Apache-2.0 OR MIT		A ring buffer with a fixed capacity, which can be stored on the stack.
atomic	0.6.1	Amanieu d'Antras <amanieu@gmail.com>	https://github.com/Amanieu/atomic-rs	Apache-2.0 OR MIT		Generic Atomic<T> wrapper type
autocfg	1.5.1	Josh Stone <cuviper@gmail.com>	https://github.com/cuviper/autocfg	Apache-2.0 OR MIT		Automatic cfg for Rust compiler features
base64	0.22.1	Marshall Pierce <marshall@mpierce.org>	https://github.com/marshallpierce/rust-base64	Apache-2.0 OR MIT		encodes and decodes base64 as bytes or utf8
